Team,Gls_median,Gls_mean,Gls_std,Ast_median,Ast_mean,Ast_std,G+A_median,G+A_mean,G+A_std,xG_median,xG_mean,xG_std,npxG_median,npxG_mean,npxG_std,xAG_median,xAG_mean,xAG_std,PrgC_median,PrgC_mean,PrgC_std,PrgP_median,PrgP_mean,PrgP_std,Cluster
Newcastle Utd,0.0,2.739130434782609,5.011054972434337,1.0,2.0869565217391304,2.843062425021507,1.0,4.826086956521739,7.145578250747059,0.5,2.547826086956522,4.265279439339487,0.5,2.3739130434782614,3.762520599919971,0.9,1.852173913043478,2.2405091883152144,14.0,29.08695652173913,32.3867439822337,56.0,61.17391304347826,60.89831478032052,0
West Ham,0.0,1.44,2.467792535850613,1.0,0.92,1.469693845669907,1.0,2.36,3.672873534441392,1.2,1.7360000000000002,2.1727248636984235,1.2,1.6439999999999997,2.0116494061673205,1.1,1.2280000000000002,1.3752333135387125,11.0,22.36,29.37952801980772,31.0,43.68,40.19091937241546,1
Manchester Utd,0.0,1.3703703703703705,2.2039849948558765,0.0,0.925925925925926,2.0554978046865497,1.0,2.2962962962962963,3.988587708554484,1.0,1.7148148148148148,2.3181066053178467,1.0,1.6259259259259258,2.037077958666926,0.7,1.2814814814814814,1.6834116085719035,10.0,22.51851851851852,31.57332171113207,43.0,46.7037037037037,57.13938074488411,1
Fulham,0.5,2.227272727272727,3.2649920612726087,1.0,1.9090909090909087,2.561790499391112,2.0,4.136363636363637,4.632138810172894,1.0,2.077272727272728,2.670996214752237,1.0,1.931818181818182,2.2854376185372263,0.95,1.5909090909090908,1.8204942005398248,22.0,32.18181818181818,35.314419506884505,51.0,63.86363636363637,48.530104014631945,2
Southampton,0.0,0.8275862068965517,1.0713464664764274,0.0,0.5172413793103449,0.8289705171033532,1.0,1.3448275862068966,1.4705650534249344,0.5,1.0448275862068963,1.3623997228882971,0.5,0.982758620689655,1.2320334427039257,0.5,0.7896551724137931,0.89576177779674,10.0,20.24137931034483,26.475939444297875,23.0,35.55172413793103,38.55847711769058,1
Aston Villa,1.0,1.8571428571428568,3.285369202030541,0.0,1.4642857142857142,2.364586611073877,2.5,3.321428571428572,5.084861857102915,0.8,1.9142857142857144,2.936073755975673,0.8,1.739285714285714,2.644678694440101,0.45,1.4035714285714285,1.9488804274852063,16.0,23.071428571428573,22.744846500428235,33.5,42.75,46.34382375246997,2
Leicester City,0.0,1.0384615384615383,1.7995725988304945,0.0,0.8076923076923077,1.132050556087696,1.0,1.8461538461538465,2.4607691105393483,0.35,1.1307692307692307,2.084757871939901,0.35,1.0423076923076924,1.8033686427179725,0.4,0.8653846153846152,1.0563871667877485,14.0,20.346153846153847,22.20079693649273,28.5,37.96153846153846,34.587258658911686,1
Tottenham,0.0,2.185185185185185,3.2703450422175178,1.0,1.6666666666666667,2.401922307076307,2.0,3.851851851851852,5.193958796256279,0.7,2.0740740740740744,2.9143666144692166,0.7,1.9851851851851847,2.8274347851696717,0.9,1.551851851851852,2.015014863539448,16.0,28.96296296296296,28.86371355376782,49.0,56.22222222222222,47.11796434591125,2
Ipswich Town,0.0,1.0666666666666669,2.2884015402012388,0.0,0.8,1.0635010497214474,1.0,1.8666666666666667,2.7257815498442395,0.6,1.0366666666666664,1.720561923713684,0.6,0.9833333333333332,1.468304988832322,0.4,0.7,0.9580871747825238,9.0,14.633333333333333,17.816078235070727,20.0,27.133333333333333,25.29785779854496,1
Arsenal,2.0,2.772727272727273,2.8103858095052354,1.5,2.272727272727273,2.675849988353824,3.5,5.045454545454546,4.745697527407854,1.65,2.5,2.587515815456612,1.65,2.431818181818182,2.521599334442965,0.9,1.8863636363636365,2.128557628009534,23.0,34.31818181818182,31.38301992151073,55.5,75.18181818181819,60.815596655272536,0
