Team,Gls_median,Gls_mean,Gls_std,Ast_median,Ast_mean,Ast_std,G+A_median,G+A_mean,G+A_std,xG_median,xG_mean,xG_std,npxG_median,npxG_mean,npxG_std,xAG_median,xAG_mean,xAG_std,PrgC_median,PrgC_mean,PrgC_std,PrgP_median,PrgP_mean,PrgP_std
Newcastle Utd,0.0,2.782608695652174,5.187016323467755,1.0,2.0869565217391304,2.843062425021507,1.0,4.869565217391305,7.294483269293851,0.5,2.634782608695652,4.436994139735529,0.5,2.430434782608696,3.81449803472449,0.9,1.8826086956521737,2.277489082682753,14.0,29.82608695652174,33.44011224142897,59.0,63.17391304347826,62.65029360296367
West Ham,0.0,1.48,2.6,1.0,0.96,1.5132745950421556,1.0,2.44,3.852272056851645,1.2,1.776,2.2548614148102315,1.2,1.6840000000000002,2.0935774804546083,1.1,1.2600000000000002,1.40356688476182,11.0,22.92,30.36983152186832,31.0,45.0,41.31182235954578
Manchester Utd,0.0,1.3333333333333333,2.264163594268134,0.0,0.9333333333333333,1.9988502442280596,0.5,2.2666666666666666,3.999425246063561,0.7,1.6033333333333337,2.26768655216072,0.7,1.5233333333333334,2.006830290804869,0.35,1.2,1.7075895493254571,10.0,21.066666666666666,31.189004841265866,22.0,43.2,55.75092391379159
Fulham,0.5,2.227272727272727,3.2649920612726087,1.0,1.9090909090909092,2.561790499391112,2.0,4.136363636363637,4.632138810172894,1.05,2.122727272727273,2.684866196574141,1.05,1.9772727272727275,2.304639589255473,1.0,1.6272727272727274,1.8822938939045366,22.0,32.81818181818182,36.18818060616499,53.0,65.31818181818181,49.51804516069669
Southampton,0.0,0.8275862068965517,1.0713464664764274,0.0,0.5172413793103449,0.8289705171033532,1.0,1.3448275862068966,1.4705650534249344,0.5,1.072413793103448,1.3879317994062086,0.5,1.0103448275862068,1.2616159783576344,0.5,0.8103448275862071,0.9220880139220546,10.0,20.620689655172413,26.91045175750685,24.0,36.44827586206897,39.45755966577666
Aston Villa,1.0,1.8928571428571428,3.2924074914790076,0.0,1.5,2.3959842947608694,2.5,3.392857142857143,5.137655364609682,0.8,1.9535714285714287,2.9725263158486412,0.8,1.7750000000000001,2.6818491409501046,0.45,1.4321428571428572,2.0083259237168196,16.5,23.785714285714285,23.6601824338747,34.0,44.17857142857143,48.1994725431633
Leicester City,0.0,1.1153846153846154,2.006527808467614,0.0,0.8461538461538461,1.189699380257305,1.0,1.9615384615384615,2.675530141572234,0.4,1.1846153846153846,2.171578652997364,0.4,1.0923076923076922,1.8710260451256315,0.4,0.9192307692307691,1.1405329388559473,15.0,21.03846153846154,22.97560579263279,30.5,38.84615384615385,34.95905297080264
Tottenham,1.0,2.2222222222222223,3.2502465389724775,1.0,1.7037037037037037,2.3828685817859694,2.0,3.925925925925926,5.158457774343667,0.7,2.0999999999999996,2.9091368003373312,0.7,2.011111111111111,2.8218015703738106,0.9,1.5814814814814815,2.0200984433432247,18.0,29.51851851851852,29.123570113952997,49.0,56.925925925925924,47.133138698083364
Ipswich Town,0.0,1.1333333333333333,2.3153659624840914,0.0,0.8333333333333334,1.0854312136382618,1.0,1.9666666666666666,2.772815490999435,0.6,1.0699999999999998,1.759731562600896,0.6,1.0166666666666666,1.5079292339870078,0.4,0.7099999999999999,0.9714369023114234,9.0,15.066666666666666,18.26799223313512,20.0,27.666666666666668,25.77265770264043
Arsenal,2.0,2.8181818181818183,2.8053751745764544,1.5,2.3181818181818183,2.7496556258204516,3.5,5.136363636363637,4.823508449897623,1.65,2.5636363636363635,2.6409856483527503,1.65,2.4909090909090907,2.567175414807023,0.9,1.9318181818181819,2.1877116471514824,23.0,35.31818181818182,32.69685635629847,56.5,77.0,62.4431169717116
Crystal Palace,0.0,1.9047619047619047,3.404478842712375,1.0,1.5238095238095237,2.088517359732679,2.0,3.4285714285714284,4.675162334843877,1.1,2.561904761904762,3.4830268719141677,1.1,2.4190476190476193,3.1501776215983517,1.5,1.9142857142857148,2.12821185841206,11.0,21.714285714285715,22.71154520754336,47.0,50.19047619047619,39.60381174535988
